DENOMINAZIONE,INDIRIZZO,COMUNE,LOCALITA,SITO WEB,_INDIRIZZO,Position,APERTO
PALAZZO ALTIERI,Piazza Umberto I,Oriolo Romano (VT) - 01010, ,http://www.sbap-lazio.beniculturali.it/index.php?option=com_content&view=article&id=128&Itemid=11,"Italia, Oriolo Romano (VT) - 01010, Piazza Umberto I","42.1594531,12.1379477",SI
PALAZZO FARNESE,Piazza Farnese,Caprarola (VT) - 01032, ,http://www.sbap-lazio.beniculturali.it/index.php?option=com_content&view=article&id=125&Itemid=11,"Italia, Caprarola (VT) - 01032, Piazza Farnese","42.3038585,12.1836354",SI
PANTHEON,Piazza della Rotonda,Roma (RM) - 85029, ,,"Italia, Roma (RM) - 85029, Piazza della Rotonda","41.8889601,12.4811823",SI
PARCO ARCHEOLOGICO DELLE TOMBE DELLA VIA LATINA,"Via dell’Arco di Travertino, 151",Roma (RM) -, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) -, Via dell’Arco di Travertino, 151","41.86343000000001,12.53287",SI
RACCOLTA MANZÙ,"Via Laurentina, Km 32,800",Ardea (RM) - 00040, ,http://www.museomanzu.beniculturali.it/,"Italia, Ardea (RM) - 00040, Via Laurentina, Km 32,800","41.58255,12.52398",SI
SALA CONVEGNI SANTA MARTA,"piazza del Collegio Romano, 5",Roma (RM) - 03043, ,,"Italia, Roma (RM) - 03043, piazza del Collegio Romano, 5","41.8979265,12.4805432",SI
SANTUARIO MADONNA DELLA QUERCIA,"Piazza del Santuario, La Quercia",Viterbo (VT) - 01030, ,,"Italia, Viterbo (VT) - 01030, Piazza del Santuario, La Quercia","42.429277,12.1277",SI
SCAVI DI OSTIA ANTICA E MUSEO,Viale dei Romagnoli,Roma (RM) - 00119, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00119, Viale dei Romagnoli","41.7690089,12.3220327",SI
TERME DI CARACALLA,Via delle Terme di Caracalla,Roma (RM) - 00179, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00179, Via delle Terme di Caracalla","41.87403,12.496686",SI
TERME TAURINE O DI TRAIANO,Via delle Terme Taurine,Civitavecchia (RM) - 00053, ,,"Italia, Civitavecchia (RM) - 00053, Via delle Terme Taurine","42.096476,11.790757",SI
TOMBA DI CECILIA METELLA,"Via Appia Antica, 161",Roma (RM) - 00179, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00179, Via Appia Antica, 161","41.8521128,12.5209185",SI
TOMBA FRANCOIS,Castello dell’Abbadia,Canino (VT) - 01011,Vulci,,"Italia, Canino (VT) - 01011, Castello dell’Abbadia","42.466403,11.750676",SI
VILLA D'ESTE,Piazza Trento,Tivoli (RM) - 00019, ,http://www.villadestetivoli.info/,"Italia, Tivoli (RM) - 00019, Piazza Trento","41.95629750000001,12.7316317",SI
VILLA DEI QUINTILI,Via Appia Nuova,Roma (RM) - 00178, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00178, Via Appia Nuova","41.8812136,12.5146485",SI
VILLA DEI VOLUSII,"Via Tiberina km 18,500",Fiano Romano (RM) - 00065, ,,"Italia, Fiano Romano (RM) - 00065, Via Tiberina km 18,500","42.1698801,12.5916515",SI
VILLA DI ORAZIO,Via Licentina,Licenza (RM) - 00026, ,,"Italia, Licenza (RM) - 00026, Via Licentina","42.0727827,12.9004489",SI
VILLA LANTE BAGNAIA,Via Jacopo Barozzi,Viterbo (VT) - 01100, ,http://www.sbap-lazio.beniculturali.it/index.php?option=com_content&view=article&id=126&Itemid=11,"Italia, Viterbo (VT) - 01100, Via Jacopo Barozzi","42.426984,12.1550831",SI
CASTELLO DI SAN TERENZO,Via Castello,Lerici (SP) - 19032, ,,"Italia, Lerici (SP) - 19032, Via Castello","44.0756332,9.9169337",SI
GALLERIA NAZIONALE DI PALAZZO SPINOLA,Piazza Pellicceria,Genova (GE) - 16126, ,http://www.artiliguria.beniculturali.it/index.php?it/188/galleria-nazionale-di-palazzo-spinola,"Italia, Genova (GE) - 16126, Piazza Pellicceria","44.4108631,8.930545100000002",SI
MUSEO ARCHEOLOGICO NAZIONALE E ZONA ARCHEOLOGICA DI LUNI,Via Luni,Ortonovo (SP) - 19034, ,http://www.archeoge.liguria.beniculturali.it,"Italia, Ortonovo (SP) - 19034, Via Luni","44.0694532,10.0222456",SI
MUSEO DI PALAZZO REALE,Via Balbi,Genova (GE) - 16126, ,http://www.palazzorealegenova.beniculturali.it/,"Italia, Genova (GE) - 16126, Via Balbi","44.4156746,8.924890399999999",SI
"MUSEO PREISTORICO DEI \""BALZI ROSSI\"" E ZONA ARCHEOLOGICA",Via Balzi Rossi,Ventimiglia (IM) - 18039, ,http://www.archeoge.beniculturali.it,"Italia, Ventimiglia (IM) - 18039, Via Balzi Rossi","43.7912366,7.6075864",SI
AREA ARCHEOLOGICA DELLA BASILICA ROMANA DI BRESCIA,Piazza Labus,Brescia (BS) - 25100, ,http://www.archeologica.lombardia.beniculturali.it,"Italia, Brescia (BS) - 25100, Piazza Labus","45.5381051,10.2254985",SI
AREA ARCHEOLOGICA MONSORINO DI GOLASECCA,Località Monsorino,Golasecca (VA) - 21010,Monsorino,http://www.archeologica.lombardia.beniculturali.it,"Italia, Golasecca (VA) - 21010, Località Monsorino","45.6969129,8.6556462",SI
CAPPELLA ESPIATORIA,Via Matteo da Campione,Monza (MB) - 20052, ,http://www.architettonicimilano.lombardia.beniculturali.it,"Italia, Monza (MB) - 20052, Via Matteo da Campione","45.5913924,9.2682643",SI (su appuntamento Tel. 0286313.211/290)
ROCCA SCALIGERA DI SIRMIONE,Piazza Castello,Sirmione (BS) - 25019, ,http://www.architettonicibrescia.beniculturali.it/Page/t03/view_html?idp=223,"Italia, Sirmione (BS) - 25019, Piazza Castello","45.4921397,10.608142",SI
CENACOLO VINCIANO,piazza Santa Maria delle Grazie,Milano (MI) - 20100, ,http://www.architettonicimilano.lombardia.beniculturali.it/,"Italia, Milano (MI) - 20100, piazza Santa Maria delle Grazie","45.465963,9.170962099999999",SI
MUSEO DEL RISORGIMENTO,"via Borgonuovo, 23",Milano (MI) - 20100, ,http://www.museodelrisorgimento.mi.it/,"Italia, Milano (MI) - 20100, via Borgonuovo, 23","45.4722342,9.1898839",SI
PALAZZO MORANDO,"via Sant'Andrea, 6",Milano (MI) - 20100, ,http://www.costumemodaimmagine.mi.it/,"Italia, Milano (MI) - 20100, via Sant'Andrea, 6","45.4685734,9.195985799999999",SI
GALLERIA D’ARTE MODERNA,"via Palestro, 16",Milano (MI) - 20100, ,http://www.gam-milano.com/,"Italia, Milano (MI) - 20100, via Palestro, 16","45.4727679,9.2023695",SI
MUSEO DEL NOVECENTO,"via Marconi, 1",Milano (MI) - 20100, ,http://www.museodelnovecento.org/,"Italia, Milano (MI) - 20100, via Marconi, 1","45.46318,9.19",SI
CASA MUSEO BOSCHI DI STEFANO,"via G. Jan, 15",Milano (MI) - 20100, ,http://www.fondazioneboschidistefano.it/ws/,"Italia, Milano (MI) - 20100, via G. Jan, 15","45.4789334,9.2116673",SI
MUSEO STUDIO FRANCESCO MESSINA,"via San Sisto, 4/A",Milano (MI) - 20100, ,http://www.comune.milano.it/dseserver/WebCity/,"Italia, Milano (MI) - 20100, via San Sisto, 4/A","45.46079,9.18156",SI
MUSEO ARCHEOLOGICO,"Corso Magenta, 15",Milano (MI) - 20100, ,http://www.comune.milano.it/portale/wps/portal/,"Italia, Milano (MI) - 20100, Corso Magenta, 15","45.4657032,9.178523799999999",SI
MUSEO CIVICO DI STORIA NATURALE,"Corso Venezia, 55",Milano (MI) - 20100, ,http://www.comune.milano.it/dseserver/webcity/,"Italia, Milano (MI) - 20100, Corso Venezia, 55","45.47203,9.20267",SI
ACQUARIO CIVICO DI MILANO,"Viale G. Gadio, 2",Milano (MI) - 20100, ,http://www.acquariocivicomilano.eu/,"Italia, Milano (MI) - 20100, Viale G. Gadio, 2","45.47399799999999,9.1807401",SI
PLANETARIO U. HOEPLI,"Corso venezia, 57",Milano (MI) - 20100, ,http://www.comune.milano.it/dseserver/webcity/,"Italia, Milano (MI) - 20100, Corso venezia, 57","45.4735058,9.2039875",SI
CASTELLO SFORZESCO,Piazzale Castello,Milano (MI) - 20100, ,http://www.milanocastello.it/,"Italia, Milano (MI) - 20100, Piazzale Castello","45.4707894,9.214725399999999",SI
GALLERIE D'ITALIA,"Piazza della Scala, 6",Milano (MI) - 20100, ,http://www.gallerieditalia.com/,"Italia, Milano (MI) - 20100, Piazza della Scala, 6","45.46735,9.19004",SI
MUSEO DIOCESANO,"Corso porta Ticinese, 95",Milano (MI) - 20100, ,http://www.museodiocesano.it/,"Italia, Milano (MI) - 20100, Corso porta Ticinese, 95","45.4553483,9.1806389",SI
GROTTE DI CATULLO E MUSEO ARCHEOLOGICO DI SIRMIONE,Piazzale Orti Manara,Sirmione (BS) - 25019, ,,"Italia, Sirmione (BS) - 25019, Piazzale Orti Manara","45.4969717,10.6053754",SI
MUSEO ARCHEOLOGICO NAZIONALE DI MANTOVA,Piazza Castello,Mantova (MN) - 46100, ,http://www.museoarcheologicomantova.beniculturali.it/,"Italia, Mantova (MN) - 46100, Piazza Castello","45.1608789,10.7987508",SI
MUSEO DI PALAZZO DUCALE DI MANTOVA,Piazza Paccagnini,Mantova (MN) - 46100, ,http://www.mantovaducale.beniculturali.it/,"Italia, Mantova (MN) - 46100, Piazza Paccagnini","45.1596191,10.7988559",SI
MUSEO DELLA CERTOSA DI PAVIA,Viale Monumento,Certosa di Pavia (PV) - 27012, ,http://www.museo.certosadipavia.beniculturali.it/,"Italia, Certosa di Pavia (PV) - 27012, Viale Monumento","45.2569525,9.147879699999999",SI
MUSEO NAZIONALE DELLA VALCAMONICA ROMANA,Via Roma 29,Cividate Camuno (BS) - 25040, ,http://www.museoarcheologico.valcamonicaromana.beniculturali.it/,"Italia, Cividate Camuno (BS) - 25040, Via Roma 29","45.94309519999999,10.2694788",SI
PALAZZO BESTA, Via Besta,Teglio (SO) - 23036, ,http://www.architettonicimilano.lombardia.beniculturali.it,"Italia, Teglio (SO) - 23036,  Via Besta","46.1709498,10.0614432",SI
PARCO ARCHEOLOGICO DEL TEATRO E DELL'ANFITEATRO DI CIVIDATE CAMUNO,Via Tovini,Cividate Camuno (BS) - 25040, ,http://www.archeologica.lombardia.beniculturali.it,"Italia, Cividate Camuno (BS) - 25040, Via Tovini","45.9424656,10.2778746",SI
PARCO ARCHEOLOGICO E ANTIQUARIUM,Via Castelvecchio,Castelseprio (VA) - 21050,Castel Seprio,http://www.archeologica.lombardia.beniculturali.it,"Italia, Castelseprio (VA) - 21050, Via Castelvecchio","45.7205297,8.8586564",SI
PARCO ARCHEOLOGICO NAZIONALE DEI MASSI DI CEMMO,Via Pieve di S. Siro,Capo di Ponte (BS),Frazione Cemmo,http://www.archeologica.lombardia.beniculturali.it,"Italia, Capo di Ponte (BS), Via Pieve di S. Siro","46.0311579,10.3407848",SI
PARCO DELLE INCISIONI RUPESTRI CON RUPE MAGNA DI GROSIO,Via San Faustino - Ca' del Cap - c/o Castelli Visconti Venosta,Grosio (SO) - 23033,Cà del Cap,http://www.parcoincisionigrosio.it/,"Italia, Grosio (SO) - 23033, Via San Faustino - Ca' del Cap - c/o Castelli Visconti Venosta","46.2947971,10.2693139",SI
PARCO NAZIONALE DELLE INCISIONI RUPESTRI,"via Naquane, 2",Capo di Ponte (BS) - 25044, Località Naquane,http://www.parcoincisioni.capodiponte.beniculturali.it/,"Italia, Capo di Ponte (BS) - 25044, via Naquane, 2","46.028927,10.3509235",SI
PINACOTECA DI BRERA,Via Brera,Milano (MI) - 20121, ,http://www.brera.beniculturali.it/,"Italia, Milano (MI) - 20121, Via Brera","45.4710214,9.187608700000002",SI
SANTUARIO DI MINERVA DI BRENO,Località Spinera,Breno (BS) - 25043,Spinera,http://www.archeologica.lombardia.beniculturali.it,"Italia, Breno (BS) - 25043, Località Spinera","45.9546029,10.2848224",SI
VILLA ROMANA DI TOSCOLANO MADERNO,Località Capra,Toscolano-Maderno (BS) - 25088,Capra,http://www.archeologica.lombardia.beniculturali.it,"Italia, Toscolano-Maderno (BS) - 25088, Località Capra","45.636612,10.6046012",SI
VILLA ROMANA E ANTIQUARIUM,Via Crocefisso,Desenzano del Garda (BS) - 25015, ,http://www.archeologica.lombardia.beniculturali.it,"Italia, Desenzano del Garda (BS) - 25015, Via Crocefisso","45.4721892,10.5387453",SI
VILLA ROMANA E ANTIQUARIUM DI PALAZZO PIGNANO,Via Luoghi Vecchi,Palazzo Pignano (CR) - 26020, ,http://www.archeologica.lombardia.beniculturali.it,"Italia, Palazzo Pignano (CR) - 26020, Via Luoghi Vecchi","45.3926672,9.5728476",SI
ANTIQUARIUM STATALE,Via La Fenice,Numana (AN) - 60026,Centro storico,http://www.archeomarche.beniculturali.it/,"Italia, Numana (AN) - 60026, Via La Fenice","43.51247980000001,13.6220098",SI
AREA ARCHEOLOGICA DI FOSSOMBRONE,Via Flaminia,Fossombrone (PU) - 61034,S. Martino del Piano,http://www.archeomarche.beniculturali.it/,"Italia, Fossombrone (PU) - 61034, Via Flaminia","43.6960085,12.8260236","ingresso su richiesta, presso la Soprintendenza e al al Direttore del Museo Civico “A Vernarecci” 0721 714645."
AREA ARCHEOLOGICA DI POTENTIA,Strada Statale 16 Adriatica,Porto Recanati (MC) - 62017,S. Maria,http://www.archeomarche.beniculturali.it/,"Italia, Porto Recanati (MC) - 62017, Strada Statale 16 Adriatica",,ingresso su richiesta presso il Comune tel 071 7599767
AREA ARCHEOLOGICA DI SAN SEVERINO MARCHE,Strada Statale Settempedana,San Severino Marche (MC) - 62027,Santa Maria della Pieve,http://www.archeomarche.beniculturali.it/,"Italia, San Severino Marche (MC) - 62027, Strada Statale Settempedana","43.2232065,13.1107667",ingresso su richiesta tel. 071 5029811 (SBA Marche);  tel. 0733 638414 (Comune di San Severino Marche)
GALLERIA NAZIONALE DELLE MARCHE,Piazza Duca Federico,Urbino (PU) - 61029,Centro storico,http://www.artimarche.beniculturali.it/,"Italia, Urbino (PU) - 61029, Piazza Duca Federico","43.724902,12.636418",SI
LAPIDARIO,Piazza Duca Federico,Urbino (PU) - 61029,Centro storico (Palazzo Ferretti),http://www.archeomarche.beniculturali.it/,"Italia, Urbino (PU) - 61029, Piazza Duca Federico","43.724902,12.636418",SI
MUSEO ARCHEOLOGICO NAZIONALE DELLE MARCHE,Via Ferretti,Ancona (AN) - 60121,Centro storico,http://www.archeomarche.beniculturali.it/,"Italia, Ancona (AN) - 60121, Via Ferretti","43.6231392,13.5109679",SI
MUSEO ARCHEOLOGICO STATALE DI ASCOLI PICENO,Piazza Arringo,Ascoli Piceno (AP) - 63100,Centro storico,http://www.archeomarche.beniculturali.it/,"Italia, Ascoli Piceno (AP) - 63100, Piazza Arringo","42.8538996,13.5764665",SI
MUSEO ARCHEOLOGICO STATALE DI URBISAGLIA,Traversa Piccinini,Urbisaglia (MC) - 62010,Centro,http://www.archeomarche.beniculturali.it/,"Italia, Urbisaglia (MC) - 62010, Traversa Piccinini","43.1968475,13.376915",SI
MUSEO ARCHEOLOGICO STATALE DI CINGOLI MOSCOSI,Piazza Vittorio Emanuele II,Cingoli (MC) - 62011,Centro storico,http://www.archeomarche.beniculturali.it/,"Italia, Cingoli (MC) - 62011, Piazza Vittorio Emanuele II","43.3738553,13.2162461",SI
"MUSEO TATTILE STATALE \""OMERO\","Mole Vanvitelliana, Banchina Giovanni da Chio",Ancona (AN) - 60121,Zona portuale,http://www.museoomero.it,"Italia, Ancona (AN) - 60121, Mole Vanvitelliana, Banchina Giovanni da Chio","43.62094829999999,13.517665",SI
ROCCA DEMANIALE DI GRADARA,Piazza Alberta Porta Natale,Gradara (PU) - 61012,Centro storico,http://www.artimarche.beniculturali.it/,"Italia, Gradara (PU) - 61012, Piazza Alberta Porta Natale","43.9395805,12.7710328",SI
ROCCA ROVERESCA DI SENIGALLIA,Piazza del Duca,Senigallia (AN) - 60019,Centro storico,http://www.sbap-marche.beniculturali.it,"Italia, Senigallia (AN) - 60019, Piazza del Duca","43.7150152,13.2197928",SI
"TEATRO ROMANO DI \""HELVIA RECINA\",Via Teatro Romano,Macerata (MC) - 62100,loc. Villa Potenza,http://www.archeomarche.beniculturali.it/,"Italia, Macerata (MC) - 62100, Via Teatro Romano","43.326972,13.4216659",SI
TEATRO ROMANO DI ANCONA,Via Birarelli,Ancona (AN),Centro storico,http://www.artimarche.beniculturali.it/,"Italia, Ancona (AN), Via Birarelli","43.62273099999999,13.5122752",ingresso su richiesta tel. 071 5029811 (SBA Marche)
AREE ARCHEOLOGICHE DI ARCEVIA,Loc. Conelle e Monte Croce Guardia,Acervia (AN),Loc. Conelle e Monte Croce Guardia,http://www.artimarche.beniculturali.it/,"Italia, Acervia (AN), Loc. Conelle e Monte Croce Guardia",,ingresso su richiesta 0731 9622 - Museo Archeologico Statale
AREA ARCHEOLOGICA DI OSTRA VETERE,SS. 360 Arceviese,Ostra Vetere (AN),Loc. Muracce ,http://www.artimarche.beniculturali.it/,"Italia, Ostra Vetere (AN), SS. 360 Arceviese","43.6033872,13.0615875","Ingresso libero, previa richiesta presso il Comune 071 965053"
"AREA ARCHEOLOGICA \""I PNI\",Loc. I Pini,Sirolo (AN),Loc. I Pini,http://www.artimarche.beniculturali.it/,"Italia, Sirolo (AN), Loc. I Pini","43.5191009,13.6217034",ingresso su richiesta  tel. 071 9331162 (Antiquarium Statale di Numana)
PARCO ARCHEOLOGICO DI CUPRAMARITTIMA,SS16 Adriatica Km 375,Cupramarittima (AP),,http://www.artimarche.beniculturali.it/,"Italia, Cupramarittima (AP), SS16 Adriatica Km 375","43.02349,13.860812",ingresso su richiesta presso il Comune tel. 0735 77671
AREA ARCHEOLOGICA DI MONTE RINALDO,Loc. La Cuma ,Monte Rinaldo (FM),Loc. La Cuma,http://www.artimarche.beniculturali.it/,"Italia, Monte Rinaldo (FM), Loc. La Cuma ","43.0281194,13.579693",ingresso su richiesta presso il Comune tel. 0734777121
PARCO ARCHEOLOGICO DI FOSSOMBRONE,Via Flaminia,Fossombrone (PU),Località S. Martino del Piano,http://www.artimarche.beniculturali.it/,"Italia, Fossombrone (PU), Via Flaminia","43.7212533,12.8882743","ingresso su richiesta, presso la Soprintendenza tel. 071 5029811e al al Direttore del Museo Civico “A Vernarecci” 0721 714645."
ABBAZIA DI SAN VINCENZO AL VOLTURNO, ,Rocchetta a Volturno (IS) - 86070,San Vincenzo al Volturno,http://archeologicamolise.beniculturali.it/index.php?it/184/s-vincenzo-al-volturno-labbazia,"Italia, Rocchetta a Volturno (IS) - 86070,  ","41.6297579,14.0725911",SI
AREA ARCHEOLOGICA DI SEPINO,Località Altilia,Sepino (CB) - 86017,Altilia,http://archeologicamolise.beniculturali.it/index.php?it/185/sepino-la-citt-romana,"Italia, Sepino (CB) - 86017, Località Altilia","41.4324801,14.6176118",SI
CASTELLO DI CAPUA,Largo Castello,Gambatesa (CB) - 86013, ,,"Italia, Gambatesa (CB) - 86013, Largo Castello","41.561617,14.9773571",SI
CASTELLO DI CIVITACAMPOMARANO,Largo Vincenzo Cuoco,Civitacampomarano (CB) - 86030, ,http://www.molise.beniculturali.it/,"Italia, Civitacampomarano (CB) - 86030, Largo Vincenzo Cuoco","41.78061350000001,14.6924595",SI
COMPLESSO MONUMENTALE DI SAN VINCENZO AL VOLTURNO,Via Colle,Castel San Vincenzo (IS) - 86071,Cartiera,http://www.comune.castelsanvincenzo.is.it,"Italia, Castel San Vincenzo (IS) - 86071, Via Colle","41.6548735,14.0594879",SI
COMPLESSO MONUMENTALE DI SANTA MARIA DELLE MONACHE - ISERNIA,Via Marcelli,Isernia (IS) - 35036, ,,"Italia, Isernia (IS) - 35036, Via Marcelli","41.5887837,14.2260872",SI
MUSEO ARCHEOLOGICO DI SEPINO, ,Sepino (CB),Altilia,http://archeologicamolise.beniculturali.it/,"Italia, Sepino (CB),  ","41.4096379,14.6240702",SI
MUSEO NAZIONALE DEL PALEOLITICO D'ISERNIA, ,Isernia (IS) - 86100,La Pineta,,"Italia, Isernia (IS) - 86100,  ","41.56126,14.66052",SI
MUSEO NAZIONALE DI CASTELLO PANDONE,Via Tre Cappelle,Venafro (IS) - 86079, ,http://www.castellopandone.beniculturali.it/,"Italia, Venafro (IS) - 86079, Via Tre Cappelle","41.4819259,14.0402307",SI
PALAZZO PISTILLI,Salita San Bartolomeo,Campobasso (CB), ,,"Italia, Campobasso (CB), Salita San Bartolomeo","41.5621564,14.6579833",SI
SANTUARIO ITALICO,Località Calcatello,Pietrabbondante (IS) - 86085,Calcatello,,"Italia, Pietrabbondante (IS) - 86085, Località Calcatello","41.748413,14.387547",SI
ABBAZIA DI FRUTTUARIA,Piazza Cardinale delle Lanze,San Benigno Canavese (TO) - 10080, ,http://www.piemonte.beniculturali.it/index.php/it/i-luoghi-della-cultura/abbazie/abbazia-di-fruttuaria,"Italia, San Benigno Canavese (TO) - 10080, Piazza Cardinale delle Lanze","45.2226082,7.781825199999999",SI
ABBAZIA DI VEZZOLANO,Strada dell'Abbazia,Albugnano (AT) - 14020, ,http://www.ambienteto.arti.beniculturali.it,"Italia, Albugnano (AT) - 14020, Strada dell'Abbazia","45.0819598,7.9760681",SI
AREA ARCHEOLOGICA DI BENE VAGIENNA,Località Roncaglia,Bene Vagienna (CN) - 12041, ,http://archeo.piemonte.beniculturali.it,"Italia, Bene Vagienna (CN) - 12041, Località Roncaglia","44.5426467,7.8269217",SI
AREE ARCHEOLOGICHE DI SUSA,via degli Archi e via della Consolata,Susa (TO), ,http://archeo.piemonte.beniculturali.it,"Italia, Susa (TO), via degli Archi e via della Consolata","45.135755,7.0422782",SI
ARMERIA REALE,Piazza Castello,Torino (TO) - 10122,,http://www.artito.arti.beniculturali.it,"Italia, Torino (TO) - 10122, Piazza Castello","45.0708468,7.684031699999999",SI
GALLERIA SABAUDA,"Via XX Settembre, 86",Torino (TO) - 10122,,http://www.galleriasabauda.beniculturali.it/,"Italia, Torino (TO) - 10122, Via XX Settembre, 86","45.07433049999999,7.685365",SI
CASTELLO DI RACCONIGI,Via Morosini,Racconigi (CN) - 12035, ,http://www.ilcastellodiracconigi.it,"Italia, Racconigi (CN) - 12035, Via Morosini","44.7688191,7.6767371",SI
CASTELLO DUCALE DI AGLIÈ,Piazza del Castello,Agliè (TO) - 10011, ,http://www.ilcastellodiaglie.it/,"Italia, Agliè (TO) - 10011, Piazza del Castello","45.36229609999999,7.769152399999999",SI
CITTÀ ROMANA - AREA ARCHEOLOGICA DI INDUSTRIA,Corso Industria,Monteu da Po (TO) - 10020, ,,"Italia, Monteu da Po (TO) - 10020, Corso Industria","45.1500539,8.0171808",SI
CITTÀ ROMANA DI LIBARNA,Via Arquata,Serravalle Scrivia (AL) - 15069, ,,"Italia, Serravalle Scrivia (AL) - 15069, Via Arquata","44.7232084,8.857400499999999",SI
FORTE DI GAVI,Via al Forte,Gavi (AL) - 15066, ,http://www.ambienteto.arti.beniculturali.it,"Italia, Gavi (AL) - 15066, Via al Forte","44.69118,8.805401999999999",SI
MUSEO DI ANTICHITÀ,Via 20 Settembre,Torino (TO) - 10122,Torino,http://museoarcheologico.piemonte.beniculturali.it,"Italia, Torino (TO) - 10122, Via 20 Settembre","45.0696286,7.682197",SI
PALAZZO CARIGNANO,VIA ACCADEMIA DELLE SCIENZE,Torino (TO) - 10123, ,http://www.palazzocarignano.it/,"Italia, Torino (TO) - 10123, VIA ACCADEMIA DELLE SCIENZE","45.0691236,7.6851384",SI
